	duration	rand1	rand2	rand3	greedy	greedy_kl	full	val
1	6h	82.7399835506991	82.5872400422982	83.42145458818	84.4671601456938	88.0507578427917		
4	17.42h						99.3420279638115	
5	0.5h							47.5032311126777
