	duration	rand1	rand2	rand3	greedy	greedy_kl	full	val
1	6h	93.570722057369	92.7794263105836	94.5598417408506	94.6587537091988	96.9337289812067		
4	17.42h						99.7032640949555	
5	0.5h							77.0524233432245
