	set	iteration	count	mcd_mean	mcd_std	mcd_min	mcd_25%	mcd_50%	mcd_75%	mcd_max	pen_mean	pen_std	pen_min	pen_25%	pen_50%	pen_75%	pen_max
0	rand_6h_1	10000	223.0	45.22626558057682	3.981103267403877	33.78715529929993	42.43126969843763	45.385722002654525	47.95358062887129	62.616235332227085	0.6657245243647939	0.08725307386383277	0.344291661700141	0.6111746709956938	0.6748904309137008	0.7274653328346816	0.9225551661337562
1	rand_6h_1	20000	223.0	56.0515081801614	2.3778095287942063	49.083581891703744	54.47398282101065	55.94854007746719	57.621570720499676	62.72626119140864	0.35922024376724193	0.04726331630113328	0.27468630991298726	0.33230119194413565	0.35487517322049705	0.38306860086335726	0.7407312361031773
2	rand_6h_1	30000	223.0	54.702508861247296	2.1913725988259674	48.504901867688375	53.306252101027596	54.668033387067226	56.12940838830382	60.89749030480551	0.3674569336304112	0.0455680074506071	0.2886689981764237	0.34195535242112807	0.36498900257670824	0.38487204524827834	0.7415907581252474
3	rand_6h_1	40000	223.0	54.23856101194755	2.5965392396104647	45.33208370747676	52.69721152992844	54.27395406334667	55.808964206109366	60.44495616841243	0.35078721227297616	0.04706530094051583	0.22158062600540704	0.32349602827127216	0.34225411384441634	0.370504728952462	0.7649213216207587
4	rand_6h_1	50000	223.0	53.37275447940731	2.6272947093771952	45.101807345201685	51.93801451534201	53.52226195671153	55.13248521878977	61.621512666712476	0.34323418075420153	0.045260631809845894	0.26307639312632863	0.3177276276080864	0.3388367789625592	0.3607849133761594	0.7528321908099248
5	rand_6h_1	60000	223.0	51.888571937142274	2.529869392406767	43.07844299561717	50.189112076053384	52.02459897101911	53.64235141569371	58.23765891581184	0.333732747233825	0.03834634843255748	0.22525822393875164	0.3094720144515566	0.33142101319766937	0.352214395427657	0.6167247239403119
6	rand_6h_1	70000	223.0	49.88066391939619	2.7165920699862847	42.380545479191255	48.073570977918216	49.795374281771906	51.70826908904076	58.7870794684155	0.32081256565504707	0.03549355369837751	0.235753235131287	0.29684659096826727	0.3182811497240707	0.3413456356698056	0.490328838916662
7	rand_6h_1	80000	223.0	48.38967387577269	2.713611370506626	41.38703552753197	46.418529148517024	48.49695604529762	50.472189460962184	55.44593158708423	0.31348695017872386	0.03376995284717342	0.23488790817562463	0.2901997196825656	0.3122277118433297	0.3327520360553602	0.45082473848032745
8	rand_6h_1	90000	223.0	46.88550328004912	3.014860782593406	40.051217072035676	44.81795982896166	47.05573538852585	48.99848155810003	54.10009315492568	0.3055307073671424	0.03489789548226943	0.20554764039023657	0.2849679527023794	0.30529162601458854	0.32650581928199096	0.461239247925706
9	rand_6h_1	100000	223.0	46.03092055002352	3.008825096100179	38.58210962559447	44.10177262006532	46.18975013684453	47.863137939546036	57.61951530674219	0.30609055569555815	0.042877432429448574	0.22799322286784338	0.27982279337960136	0.29990200155280494	0.3275531056955124	0.6394106536693603
10	rand_6h_1	110000	223.0	45.0947928288427	2.9954014928360415	37.57917559779434	43.206074226378796	45.06456384036321	46.91552188789256	56.5788981733294	0.293181545300069	0.035630870872388615	0.20051865974644134	0.2722232000579494	0.28989617871990897	0.31266909134461357	0.47798406673058774
11	rand_6h_1	120000	223.0	45.853873033227096	3.089034338184069	35.708657447692644	44.052160070280586	46.047553071074084	48.032458169777144	56.6205039116173	0.2927133544948935	0.03592331366196916	0.21665768149341672	0.2685319897905525	0.29364251225532256	0.3118889577597106	0.49203828183080045
12	rand_6h_1	130000	223.0	44.04332351588855	3.0634523962326226	33.76839706391789	41.99832902829	44.1299220765402	45.86378834402647	54.321354951996476	0.28201824782025603	0.04112945777765744	0.2082257138757353	0.25727365904288535	0.27888555364696727	0.30094937196217186	0.6401322266575539
13	rand_6h_1	140000	223.0	43.39940535762963	3.305973242149419	35.655840435489466	41.22178263324899	43.27695455359292	45.2715971218503	57.45605946779324	0.27593505966859366	0.03841066792371302	0.18582596387637515	0.2512295046231191	0.2729072122420339	0.3006788786474207	0.43460008374308035
14	rand_6h_1	150000	223.0	43.552661613733484	3.068098866081151	36.02262498189975	41.546947929804325	43.786746430672856	45.41681769299278	52.508911746419805	0.2726063166213224	0.03555689248222301	0.18337608927897509	0.2475519890188669	0.2692815911358603	0.29761202080628474	0.3861165631145456
15	rand_6h_2	10000	223.0	53.18559819221466	3.6773231583755304	42.59730912540498	50.64889895819997	53.386215439057985	55.495255244578544	63.62938981524247	0.400752516431314	0.08479444902326737	0.2221033973309751	0.3446899926360688	0.37851117831421915	0.44268148903793025	0.7378654358400532
16	rand_6h_2	20000	223.0	56.34988602011297	2.8052928936453623	48.37264121408168	54.81262083534959	56.50838282019879	58.2719567808331	64.01242000784644	0.35078029823950707	0.042866602146075586	0.24473391001366165	0.32305925964796456	0.34823439955073116	0.374089966868663	0.656215683958297
17	rand_6h_2	30000	223.0	55.363554393559376	2.451238881134747	45.94809293291703	53.86849719376449	55.53498627860454	56.767841845821515	60.901083897950684	0.3576861672100627	0.048883988025127056	0.2696558974081797	0.327920750433781	0.3530460864468403	0.38088285475108913	0.7459733060382563
18	rand_6h_2	40000	223.0	54.910737859421516	2.4382438043687733	47.58306869394457	53.14193402701542	55.16242509670291	56.59737335541321	60.5411779786672	0.34833142945666906	0.0454925110961006	0.265888062352078	0.3204680244990521	0.34391574235971584	0.3679532926070504	0.7415911263282093
19	rand_6h_2	50000	223.0	54.186506874277384	2.427608788444132	47.99447451290265	52.70968299367915	54.182561476519936	55.84587550872766	61.18682040156437	0.3468530779634721	0.044676194695249645	0.24087511690349042	0.3225641967936307	0.342964510609502	0.36669561786190485	0.749963015275319
20	rand_6h_2	60000	223.0	52.847494206123095	2.490782539512834	46.013827213529794	51.646008992975524	52.98374411120685	54.34188267032107	60.014067763060346	0.3350946402714595	0.0355221018533299	0.24349918484229574	0.3145172165300889	0.33663868260360585	0.3558194470092343	0.46716104054811014
21	rand_6h_2	70000	223.0	51.43643408462312	2.702646107408414	42.398056581015055	49.66977559840282	51.56413906322161	53.25201085402129	58.55186788374052	0.32830285390380365	0.03424490186816755	0.2248359217969429	0.30299114674328376	0.3260605459207649	0.35042092260090574	0.42356811491834595
22	rand_6h_2	80000	223.0	49.79060108149403	2.780095740984299	40.42997970780041	47.93283462516377	49.66917554520207	51.74270994776123	57.63415467296983	0.3200370773852336	0.030638980634422393	0.253027919537768	0.29981322126601473	0.32075147875303145	0.34059654145040624	0.4146057568828508
23	rand_6h_2	90000	223.0	48.697922854638655	2.8492694873412954	39.04758855247891	46.70221308664546	48.58886702536481	50.54277555519579	57.27431741206788	0.31217814488641665	0.035639861170565355	0.22356400938213086	0.28899532154236457	0.31002978239622014	0.3329915459285161	0.42218242786787874
24	rand_6h_2	100000	223.0	47.604179753768044	3.004638634571893	36.86975974985466	45.81153388609317	47.60051600421773	49.32971092727571	56.10841819248366	0.2993952700737013	0.03170356687884894	0.20341864114344876	0.28208469249939583	0.2982623800725734	0.3156711682312169	0.4320579254664943
25	rand_6h_2	110000	223.0	46.10636358673663	3.025276774847846	37.0363338883222	44.13469032064553	46.21141329268772	47.99613875602596	55.38984032797929	0.29396661631113996	0.03343803209281847	0.19330544021563997	0.2728378521984305	0.2933247858330417	0.3142095395002752	0.38898782715111385
26	rand_6h_2	120000	223.0	45.87953667900084	2.9702466763040407	36.03730223056031	43.929053155938746	45.940706950176654	48.045953733532315	53.626604408721455	0.2885668446619246	0.03474078192145781	0.1891167500208667	0.26630472059234245	0.2892404958957259	0.3124059769379309	0.41155532926695093
27	rand_6h_2	130000	223.0	45.30671596141936	3.2470651034065807	33.076477021841846	43.341713380816316	45.252804798831846	47.260132833183306	53.932010699529485	0.27953536557539166	0.033772533132391244	0.17900197972784607	0.2573744786081605	0.2776119230817389	0.3007382994817426	0.40222776887631245
28	rand_6h_2	140000	223.0	44.3657342034054	3.2530288447522935	33.66456484324325	42.3907689360539	44.44469252040928	46.573500423104846	52.66062389268433	0.28112511749939584	0.03546767006277448	0.1902254250012484	0.25720794469066577	0.2773577459622814	0.3014943687705641	0.3915514540650598
29	rand_6h_2	150000	223.0	44.27617296645938	3.278766630670093	33.77865118547416	42.17659876769512	44.391322586378244	46.44101535794087	52.92294701020847	0.27364811675333045	0.03500395589332646	0.1802660286024983	0.2517311474896477	0.27318896448926555	0.296180618113254	0.3912814967984785
30	rand_6h_3	10000	223.0	56.493691433801736	3.3762384005124417	46.58943658592057	54.23907175967823	56.4018776825876	58.756353193598144	70.48507218307621	0.40686706839230735	0.10804558267331903	0.2575023394424491	0.33805869198966493	0.3706210974016428	0.4481540166219833	0.8300967722214904
31	rand_6h_3	20000	223.0	54.53792271511356	2.861121697216127	45.75642538318943	52.74380903882687	54.31273367112944	56.56736210056392	62.24210599829458	0.39869597481194397	0.07970778499892005	0.2553753569290415	0.34964350494993335	0.3805679614155799	0.4285987224579342	0.7716544748315259
32	rand_6h_3	30000	223.0	54.772072506890645	2.5181104988309873	45.78559083318648	53.24730317672072	54.91938053794008	56.48647755687689	60.81767869589161	0.3790997964208183	0.07068980269542541	0.2804760026623063	0.3371048100709594	0.36765889183711337	0.4010900415880922	0.8058865168876542
33	rand_6h_3	40000	223.0	54.65362743897722	2.366716564996313	44.56797489920685	53.37581602576837	54.744385217510136	56.062423110845614	61.55281790641993	0.38330440313441944	0.06859043687252366	0.25133135506405013	0.34379497259393293	0.3684593253545259	0.4031259452202881	0.7516199502386064
34	rand_6h_3	50000	223.0	54.83893333497112	2.331710017023219	46.23155581761097	53.71385371948629	55.037512203238244	56.33146438097752	61.4742520306015	0.3667700969282043	0.055196666668390855	0.2626054000161042	0.3317230704400128	0.35861777244716236	0.3863678934316973	0.6430271198139269
35	rand_6h_3	60000	223.0	54.22349201757092	2.387492439043609	44.753753380784055	52.759787620272775	54.38308878467666	55.72972013892804	60.56206471432355	0.3509282970098744	0.05295733713449374	0.25219860844367264	0.32346659411897527	0.344162433754281	0.36552888917224635	0.7433924196907101
36	rand_6h_3	70000	223.0	54.05562632705971	2.493422423540704	44.238375380110085	52.696336796895096	54.50081743074721	55.54876100995802	60.791105716679375	0.3536641093151247	0.05738373462467624	0.260464370709333	0.31704000967398394	0.33928448594176946	0.372573761858337	0.5908656546982709
